what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1554133645782
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1554133649656
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554133717946
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554133718936
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554133719820
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554133720865
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1554133725330
executed,command,,,"org.lejos.ev3.ldt.LaunchEV3Shortcut.run",1554133728962
executed,command,,,"org.lejos.ev3.ldt.LaunchEV3Shortcut.run",1554133769796
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1554133783157
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1554133784438
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1554133784609
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1554133785880
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1554133787557
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1554133793779
executed,command,,,"org.lejos.ev3.ldt.LaunchEV3Shortcut.run",1554133795897
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554133891265
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554133892376
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554133892697
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1554133893000
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1554133893002
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1554133893005
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1554133893007
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1554133893010
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1554133893010
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1554133893010
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1554133893010
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1554133893012
stopped,bundle,org.lejos.ev3.ldt,0.9.1.201511161011,"org.lejos.ev3.ldt",1554133893013
stopped,bundle,org.lejos.nxt.ldt,0.9.0.201202141552,"org.lejos.nxt.ldt",1554133893014
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1554133893014
stopped,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1554133893028
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1554133893031
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui",1554133893041
